Date,Week,CrudePrice,GasStock,DaySupply,GasImports,RefinerPerc,OilExports,OilImports,Scored Labels
11/23/1994 12:00:00 AM,47,17.7266667683919,168748,27.7,170,95.3,101,7161,1.16587555408478
12/2/1994 12:00:00 AM,48,17.7799999237061,173223,28.3,176,95,98,6224,1.14737808704376
12/9/1994 12:00:00 AM,49,16.9860000610352,172344,27.2,368,91.8,98,7030,1.11037719249725
12/16/1994 12:00:00 AM,50,16.8599998474121,171935,27.3,248,92.9,98,7222,1.09896349906921
12/23/1994 12:00:00 AM,51,17.103999710083,168641,26.3,285,92.8,98,6566,1.08960342407227
12/30/1994 12:00:00 AM,52,17.7074999809265,170102,26.2,284,93.9,99,7334,1.1053626537323
1/6/1995 12:00:00 AM,1,17.6150002479553,172617,27.5,110,95.3,100,7136,1.11828911304474
1/13/1995 12:00:00 AM,2,17.5520000457764,174547,28.1,274,92.7,100,6442,1.10571491718292
1/20/1995 12:00:00 AM,3,18.4479995727539,175522,29.3,178,90.4,100,6521,1.11236035823822
1/27/1995 12:00:00 AM,4,18.3380001068115,177741,30.5,186,88.8,101,6465,1.10669589042664
2/3/1995 12:00:00 AM,5,18.496000289917,178673,30.7,109,89.5,101,5795,1.09606194496155
2/10/1995 12:00:00 AM,6,18.4240001678467,179472,31.3,291,89.3,101,7901,1.10015094280243
2/17/1995 12:00:00 AM,7,18.5520000457764,179730,31.4,236,90.2,101,6489,1.09970510005951
2/24/1995 12:00:00 AM,8,18.7475004196167,177843,30.5,284,89.2,101,5781,1.09967398643494
3/3/1995 12:00:00 AM,9,18.4999996185303,180776,30.8,182,90.8,102,6104,1.10266447067261
3/10/1995 12:00:00 AM,10,18.2699996948242,180559,30.2,445,91,102,8029,1.09472608566284
3/17/1995 12:00:00 AM,11,18.1320003509521,176415,29.3,346,89.2,102,6696,1.09348046779633
3/24/1995 12:00:00 AM,12,18.6920001983643,173898,28.9,347,89.1,102,6088,1.10538125038147
3/31/1995 12:00:00 AM,13,19.1180000305176,169521,27.1,331,88.3,102,8135,1.11725282669067
4/7/1995 12:00:00 AM,14,19.4279998779297,167305,26.9,249,89.1,99,6723,1.12824690341949
4/13/1995 12:00:00 AM,15,19.5275001525879,167991,26.9,173,89.5,99,6191,1.15819561481476
4/21/1995 12:00:00 AM,16,20.2639995574951,166416,26.4,354,93.6,99,8199,1.22282111644745
4/28/1995 12:00:00 AM,17,20.2919998168945,166822,26.8,335,92.8,99,8139,1.22293448448181
5/5/1995 12:00:00 AM,18,20.2439998626709,167764,27,264,91.3,98,5800,1.20259511470795
5/12/1995 12:00:00 AM,19,19.7399997711182,166859,26.6,435,91.8,98,7709,1.20884346961975
5/19/1995 12:00:00 AM,20,19.9819999694824,166985,26.3,612,93.9,98,7597,1.23731207847595
5/26/1995 12:00:00 AM,21,19.3660003662109,170425,26.6,340,95.8,95,6871,1.2353777885437
6/2/1995 12:00:00 AM,22,18.9224996566772,167900,25.7,313,95.9,91,7419,1.2354062795639
6/9/1995 12:00:00 AM,23,19.0520000457764,167034,25.6,330,96,91,7037,1.24412524700165
6/16/1995 12:00:00 AM,24,18.9099998474121,168086,26.1,485,95.9,91,9337,1.22679924964905
6/23/1995 12:00:00 AM,25,17.8799999237061,167346,25.3,508,96.5,91,6503,1.21654284000397
6/30/1995 12:00:00 AM,26,17.7139999389648,165529,25.4,313,94.8,92,7948,1.20355403423309
7/7/1995 12:00:00 AM,27,17.2749996185303,166517,25.4,327,93.9,81,6455,1.19414579868317
7/14/1995 12:00:00 AM,28,17.3439998626709,167607,25.6,314,94.7,81,7884,1.18723130226135
7/21/1995 12:00:00 AM,29,17.2080001831055,166352,25.5,419,93.5,81,6733,1.18263936042786
7/28/1995 12:00:00 AM,30,17.4060001373291,165923,25.5,477,94.1,81,7390,1.16325354576111
8/4/1995 12:00:00 AM,31,17.7240001678467,162100,24.8,293,94,78,7439,1.16303241252899
8/11/1995 12:00:00 AM,32,17.8100002288818,161626,24.9,168,93.5,78,8483,1.157874584198
8/18/1995 12:00:00 AM,33,17.5979999542236,158432,24.5,374,93.4,78,7781,1.13859641551971
8/25/1995 12:00:00 AM,34,19.0200004577637,154925,24,200,93.3,78,7402,1.15530443191528
9/1/1995 12:00:00 AM,35,17.8840000152588,156411,24.6,415,95.1,83,6522,1.15088617801666
9/8/1995 12:00:00 AM,36,18.3675003051758,154557,24.2,349,95.9,81,8563,1.14700150489807
9/15/1995 12:00:00 AM,37,18.7180004119873,152216,24.1,162,96,81,8227,1.1459709405899
9/22/1995 12:00:00 AM,38,18.3240001678467,154591,24.6,331,94.2,81,7195,1.14655232429504
9/29/1995 12:00:00 AM,39,17.5499996185303,160626,25.8,273,94.7,85,7546,1.13838326931
10/6/1995 12:00:00 AM,40,17.2880001068115,159069,25.6,408,92.4,88,6129,1.13353490829468
10/13/1995 12:00:00 AM,41,17.2780002593994,157513,25.6,377,88.5,88,7416,1.08347880840302
10/20/1995 12:00:00 AM,42,17.5080001831055,157877,25.8,304,90,88,7568,1.11011254787445
10/27/1995 12:00:00 AM,43,17.5640003204346,155886,24.9,319,89.7,84,6986,1.10444045066834
11/3/1995 12:00:00 AM,44,17.7900001525879,155634,25.1,146,89.3,92,6530,1.1011677980423
11/10/1995 12:00:00 AM,45,17.7560001373291,150964,24,324,88.2,92,7695,1.13661980628967
11/17/1995 12:00:00 AM,46,18.0619998931885,152089,24,480,90.5,92,8060,1.0990149974823
11/22/1995 12:00:00 AM,47,17.9866663614909,151813,24.3,204,91.5,92,7560,1.09879660606384
12/1/1995 12:00:00 AM,48,18.3240005493164,156079,24.8,263,94.1,91,7182,1.10478723049164
12/8/1995 12:00:00 AM,49,18.7380001068115,154306,25.2,357,94.6,90,8066,1.10550391674042
12/15/1995 12:00:00 AM,50,19.0159999847412,156542,25.9,225,92.7,90,6990,1.1081737279892
12/22/1995 12:00:00 AM,51,19.1159999847412,154860,25.5,364,92,90,6192,1.10875344276428
12/29/1995 12:00:00 AM,52,19.4375,160817,26.6,292,93.2,90,6963,1.12301778793335
1/12/1996 12:00:00 AM,2,19.4340003967285,162058,26.9,462,91.3,87,7504,1.13665676116943
1/19/1996 12:00:00 AM,3,18.6360004425049,167475,28.6,575,91.6,87,7240,1.12302136421204
1/26/1996 12:00:00 AM,4,18.3520000457764,166922,28.4,310,90.6,87,6937,1.11194789409637
2/2/1996 12:00:00 AM,5,17.6399997711182,169284,29.2,631,90.5,87,7002,1.11484837532043
2/9/1996 12:00:00 AM,6,17.7200000762939,168460,29.1,459,90.7,88,6427,1.11412835121155
2/16/1996 12:00:00 AM,7,18.8020000457764,168209,28,448,90.4,88,7504,1.10784316062927
2/23/1996 12:00:00 AM,8,21.4524993896484,166350,27.4,248,89.5,88,5543,1.13987636566162
3/1/1996 12:00:00 AM,9,19.4880001068115,168668,28,483,90.8,88,6235,1.15848398208618
3/8/1996 12:00:00 AM,10,19.7159999847412,165753,27.1,364,90.5,91,6986,1.13439643383026
3/15/1996 12:00:00 AM,11,20.8,164246,27.2,561,90.5,91,6923,1.17132437229156
3/22/1996 12:00:00 AM,12,23.1639999389648,162730,26.7,331,90.9,91,6598,1.19832849502563
3/29/1996 12:00:00 AM,13,22.0259998321533,160490,26.2,298,93.1,91,7396,1.21212291717529
4/4/1996 12:00:00 AM,14,22.4850001335144,159790,26.5,365,92.5,100,7360,1.23473417758942
4/12/1996 12:00:00 AM,15,23.9520000457764,159287,26.3,603,93.8,100,7535,1.27006602287292
4/19/1996 12:00:00 AM,16,24.3419994354248,160328,27.1,506,93.3,100,7231,1.28960585594177
4/26/1996 12:00:00 AM,17,23.8020000457764,160105,26.7,603,93.8,100,7852,1.29436337947845
5/3/1996 12:00:00 AM,18,21.1600002288818,160812,26.4,270,94.3,99,7223,1.29082381725311
5/10/1996 12:00:00 AM,19,20.9839996337891,160562,25.8,530,92.9,99,8578,1.27095937728882
5/17/1996 12:00:00 AM,20,21.0580001831055,164093,26.1,465,92.9,99,7564,1.29751169681549
5/24/1996 12:00:00 AM,21,22.2360004425049,163784,26.2,612,95.2,98,6865,1.29723918437958
5/31/1996 12:00:00 AM,22,20.3675003051758,163678,26,255,95.6,98,8116,1.29452896118164
6/7/1996 12:00:00 AM,23,20.0420001983643,163024,26.2,441,95.7,284,7524,1.23766899108887
6/14/1996 12:00:00 AM,24,20.15,162379,25.8,504,95.1,98,8676,1.27843117713928
6/21/1996 12:00:00 AM,25,20.95,165677,26.1,585,95.7,98,7587,1.27355372905731
6/28/1996 12:00:00 AM,26,20.5519996643066,161284,25,464,95.3,98,8366,1.25893473625183
7/5/1996 12:00:00 AM,27,21.3974995613098,160470,24.8,382,93.8,98,7860,1.24951791763306
7/12/1996 12:00:00 AM,28,21.653999710083,161143,24.7,370,94.7,98,7601,1.25684976577759
7/19/1996 12:00:00 AM,29,21.7980003356934,160249,24.3,397,94.4,98,7870,1.25418269634247
7/26/1996 12:00:00 AM,30,20.9559993743896,158462,24.5,295,93.6,96,7683,1.24565899372101
8/2/1996 12:00:00 AM,31,20.6640003204346,157106,24.2,567,94.3,282,8143,1.23937261104584
8/9/1996 12:00:00 AM,32,21.346000289917,157908,24.6,268,95.2,96,8044,1.23278427124023
8/16/1996 12:00:00 AM,33,22.2500003814697,158240,24.9,321,94,96,9060,1.24508893489838
8/23/1996 12:00:00 AM,34,22.4979999542236,156826,24.4,544,94.6,96,7969,1.24597239494324
8/30/1996 12:00:00 AM,35,21.8200000762939,154087,23.9,631,94.2,97,7304,1.2384911775589
9/6/1996 12:00:00 AM,36,23.4750003814697,151723,23.7,385,95,211,7563,1.24070608615875
9/13/1996 12:00:00 AM,37,24.4200000762939,153643,23.9,259,94.9,97,7801,1.24791133403778
9/20/1996 12:00:00 AM,38,23.5200000762939,155955,24.4,582,95.6,97,7483,1.24191498756409
9/27/1996 12:00:00 AM,39,24.3259998321533,159036,25.5,685,95.6,197,6280,1.23741209506989
10/4/1996 12:00:00 AM,40,24.4400001525879,156719,25.3,526,95.7,97,8177,1.24024307727814
10/11/1996 12:00:00 AM,41,24.9299999237061,155394,24.9,382,92.7,97,7654,1.24123430252075
10/18/1996 12:00:00 AM,42,25.45,151590,24.5,390,93,97,8736,1.25732624530792
10/25/1996 12:00:00 AM,43,25.1540000915527,150080,24,490,93.8,396,8468,1.36098229885101
11/1/1996 12:00:00 AM,44,23.9099998474121,152342,24.6,632,94.9,96,6881,1.26179456710815
11/8/1996 12:00:00 AM,45,22.9199996948242,151230,24.2,278,91.2,210,8481,1.2740021944046
11/15/1996 12:00:00 AM,46,23.9,150309,23.9,481,93.1,282,6952,1.27803361415863
11/22/1996 12:00:00 AM,47,24.0299999237061,150390,23.8,270,94.6,210,7150,1.2780773639679
11/29/1996 12:00:00 AM,48,24.2125005722046,151567,24.5,309,94.5,96,6143,1.27172482013702
12/6/1996 12:00:00 AM,49,25.1400001525879,156317,25.1,466,94.9,97,8491,1.27500009536743
12/13/1996 12:00:00 AM,50,24.2,154356,24.5,434,94,283,7848,1.26447975635529
12/20/1996 12:00:00 AM,51,26.0200000762939,152417,24.3,353,94,211,7150,1.27778851985931
12/27/1996 12:00:00 AM,52,25.4375,153479,24.1,367,93.8,97,7730,1.25800776481628
12/31/1996 12:00:00 AM,1,21.8666664759318,160271,26.6,285,93.2,87,6926,1.19924592971802
1/10/1997 12:00:00 AM,2,26.2999996185303,158237,26.4,401,91.6,284,7396,1.2755298614502
1/17/1997 12:00:00 AM,3,25.4200004577637,158935,27.1,438,90.6,212,7417,1.27759063243866
1/24/1997 12:00:00 AM,4,24.4,160557,27.9,468,89.7,398,8144,1.26023125648499
1/31/1997 12:00:00 AM,5,24.2399997711182,162575,28.3,376,91.3,99,7113,1.26609432697296
2/7/1997 12:00:00 AM,6,23.4899997711182,164170,29.3,545,88.2,235,8316,1.26370167732239
2/14/1997 12:00:00 AM,7,22.2100002288818,163800,28.9,455,87.5,99,6905,1.23106896877289
2/21/1997 12:00:00 AM,8,22.1750001907349,159978,27.7,418,88.8,99,7403,1.25220847129822
2/28/1997 12:00:00 AM,9,20.8299999237061,158137,26.8,634,89.4,98,7331,1.23955523967743
3/7/1997 12:00:00 AM,10,20.7700000762939,159482,26.5,693,90.5,98,7742,1.19659101963043
3/14/1997 12:00:00 AM,11,20.6399997711182,155084,25.5,736,91.1,98,7753,1.2319427728653
3/21/1997 12:00:00 AM,12,21.7200000762939,153275,25.6,668,93.5,98,7135,1.24980282783508
3/27/1997 12:00:00 AM,13,20.8250002861023,151171,25.6,430,92.8,99,7870,1.23804581165314
4/4/1997 12:00:00 AM,14,19.7599998474121,150315,24.9,884,93.3,99,8006,1.23194897174835
4/11/1997 12:00:00 AM,15,19.3799999237061,148689,25.2,468,93,99,7782,1.22359800338745
4/18/1997 12:00:00 AM,16,19.65,149597,25,480,93.2,99,8418,1.22948801517487
4/25/1997 12:00:00 AM,17,19.85,149644,24.7,521,92,99,7853,1.22174024581909
5/2/1997 12:00:00 AM,18,19.9900001525879,148799,24.3,705,94.1,102,8203,1.23351168632507
5/9/1997 12:00:00 AM,19,19.9400005340576,152961,24.9,657,96.9,102,7796,1.20907151699066
5/16/1997 12:00:00 AM,20,21.45,153163,24.7,705,97.4,102,7505,1.22633898258209
5/23/1997 12:00:00 AM,21,21.4300003051758,154449,24.7,705,98.4,102,8187,1.24560272693634
5/30/1997 12:00:00 AM,22,20.9000000953674,154804,24.9,564,99,102,8267,1.24507570266724
6/6/1997 12:00:00 AM,23,20.1199996948242,158406,25.3,482,98.6,102,8899,1.24192321300507
6/13/1997 12:00:00 AM,24,18.8800003051758,160941,25.8,761,97.6,102,9567,1.22922217845917
6/20/1997 12:00:00 AM,25,18.9299999237061,161467,25.4,708,97.7,102,7213,1.21820652484894
6/27/1997 12:00:00 AM,26,18.9979999542236,160936,25.2,356,97.3,102,8097,1.20595371723175
7/3/1997 12:00:00 AM,27,19.9499998092651,161194,24.5,657,96.1,102,8577,1.20548343658447
7/11/1997 12:00:00 AM,28,19.4419998168945,157279,23.6,346,97.9,102,7684,1.21039712429047
7/18/1997 12:00:00 AM,29,19.4879997253418,156079,23.3,492,96.9,102,8375,1.20556676387787
7/25/1997 12:00:00 AM,30,19.5199996948242,152758,22.6,465,96,102,8269,1.20722615718842
8/1/1997 12:00:00 AM,31,20.1280002593994,149948,22.4,555,97.3,102,7620,1.22268402576447
8/8/1997 12:00:00 AM,32,20.3459999084473,148520,22.4,368,96.1,102,8882,1.25639486312866
8/15/1997 12:00:00 AM,33,19.9860000610352,146788,22.1,633,97.7,102,8828,1.26001167297363
8/22/1997 12:00:00 AM,34,19.9160003662109,147933,22.7,333,99.3,102,8367,1.26911628246307
8/29/1997 12:00:00 AM,35,19.5,146216,22.2,535,99.8,102,8101,1.27457320690155
9/5/1997 12:00:00 AM,36,19.6124997138977,148665,22.5,375,99.4,101,7705,1.2553619146347
9/12/1997 12:00:00 AM,37,19.4420001983643,150058,23.1,552,99,101,9311,1.25135016441345
9/19/1997 12:00:00 AM,38,19.4380001068115,153517,23.8,479,98.5,101,8564,1.18435227870941
9/26/1997 12:00:00 AM,39,20.1200000762939,154139,24.3,420,98.1,102,8687,1.22608411312103
10/3/1997 12:00:00 AM,40,21.6240001678467,156313,24.3,604,97.6,102,9625,1.23387229442596
10/10/1997 12:00:00 AM,41,22.0119998931885,156142,24.2,230,98.4,102,8221,1.22847104072571
10/17/1997 12:00:00 AM,42,21.0259998321533,155854,23.8,458,95.9,102,8017,1.21497464179993
10/24/1997 12:00:00 AM,43,20.996000289917,157077,24.2,443,94.4,102,7633,1.20635223388672
10/31/1997 12:00:00 AM,44,20.9220001220703,155861,24.2,569,94.8,101,7994,1.19948482513428
11/7/1997 12:00:00 AM,45,20.6499996185303,155817,24.2,354,93.2,101,7529,1.20418787002563
11/14/1997 12:00:00 AM,46,20.6600002288818,156870,24.8,206,92.2,101,9475,1.19542014598846
11/21/1997 12:00:00 AM,47,19.8100002288818,156934,24.4,355,95.5,101,7608,1.18443882465363
11/26/1997 12:00:00 AM,48,19.2966664632161,158904,25.4,502,96.2,101,8391,1.18012011051178
12/5/1997 12:00:00 AM,49,18.6899997711182,156701,24.9,290,95.8,102,8007,1.12890684604645
12/12/1997 12:00:00 AM,50,18.4380001068115,159478,25.2,380,96.5,102,7140,1.15446674823761
12/19/1997 12:00:00 AM,51,18.3119998931885,159350,25.1,383,96.3,102,8175,1.11563336849213
12/26/1997 12:00:00 AM,52,18.3075003623962,161801,25,418,97.1,102,6987,1.13804388046265
12/31/1997 12:00:00 AM,1,20.7979995727539,157777,25.4,588,93.2,98,6021,1.25752377510071
1/2/1998 12:00:00 AM,1,17.4099998474121,166619,26.2,333,97.2,102,7241,1.12851285934448
1/9/1998 12:00:00 AM,2,16.8319999694824,171031,27.1,449,96.1,103,8733,1.11974704265594
1/16/1998 12:00:00 AM,3,16.4680004119873,172446,27.7,350,94.1,103,8960,1.11060404777527
1/23/1998 12:00:00 AM,4,16.0149998664856,170683,27.9,458,93.3,103,8114,1.08993220329285
1/30/1998 12:00:00 AM,5,17.3019996643066,171419,28.1,411,92.2,103,7448,1.09500896930695
2/6/1998 12:00:00 AM,6,16.653999710083,172900,28.4,373,92.7,102,8323,1.09596228599548
2/13/1998 12:00:00 AM,7,16.2480001449585,170863,27.7,303,90.3,102,8242,1.07242834568024
2/20/1998 12:00:00 AM,8,16.0325000286102,170314,27.7,523,89.8,102,6580,1.07845544815063
2/27/1998 12:00:00 AM,9,15.2999998092651,170920,27.9,430,89.6,102,7170,1.08527159690857
3/6/1998 12:00:00 AM,10,15.2339998245239,168235,27.6,366,93.1,102,7726,1.05705142021179
3/13/1998 12:00:00 AM,11,14.4019998550415,164353,27.2,490,93.8,102,7683,1.04691302776337
3/20/1998 12:00:00 AM,12,14.0360000610352,164898,27.6,416,94.2,102,8178,1.05843925476074
3/27/1998 12:00:00 AM,13,16.4220001220703,165233,27.2,279,94.7,102,9213,1.13452482223511
4/3/1998 12:00:00 AM,14,15.9760000228882,160833,25.7,636,94.6,104,8117,1.09509968757629
4/9/1998 12:00:00 AM,15,15.5474998950958,161681,25.7,590,95.6,104,8347,1.08259284496307
4/17/1998 12:00:00 AM,16,15.526000213623,162616,25.4,520,98.5,104,10168,1.05859112739563
4/24/1998 12:00:00 AM,17,14.4959999084473,163269,25.4,505,95.8,104,7978,1.07594871520996
5/1/1998 12:00:00 AM,18,15.7140001296997,163238,26,509,98.2,104,8312,1.08470165729523
5/8/1998 12:00:00 AM,19,15.4759998321533,167282,26.9,650,95.4,104,8612,1.09803223609924
5/15/1998 12:00:00 AM,20,15.0280000686646,166286,26.4,590,96.3,104,8504,1.09227299690247
5/22/1998 12:00:00 AM,21,13.9079999923706,167047,26.4,612,98.1,104,7959,1.08527708053589
5/29/1998 12:00:00 AM,22,14.9924998283386,169099,26.8,612,99.5,104,8738,1.09005236625671
6/5/1998 12:00:00 AM,23,15.0219999313354,170866,26.3,852,97,104,9806,1.10185527801514
6/12/1998 12:00:00 AM,24,13.4239999771118,172483,26.7,551,98.2,104,8875,1.08825588226318
6/19/1998 12:00:00 AM,25,12.0440000534058,174440,27.2,561,98.4,104,8193,1.0645318031311
6/26/1998 12:00:00 AM,26,14.1679998397827,175082,26.8,730,98.1,104,10018,1.08143258094788
7/2/1998 12:00:00 AM,27,14.4100000858307,171341,25.9,489,97.2,105,7704,1.07833635807037
7/10/1998 12:00:00 AM,28,13.9360000610352,174122,26.2,552,100,105,9250,1.07496023178101
7/17/1998 12:00:00 AM,29,14.4780000686646,173779,25.5,525,99.5,105,9209,1.06256425380707
7/24/1998 12:00:00 AM,30,13.8920000076294,172871,25.9,355,99.6,105,9264,1.07072162628174
7/31/1998 12:00:00 AM,31,14.2440000534058,169290,25.3,574,98.4,106,9369,1.07139837741852
8/7/1998 12:00:00 AM,32,13.8280000686646,167122,24.9,396,98,106,9345,1.04818379878998
8/14/1998 12:00:00 AM,33,13.1159997940063,164441,24.4,715,99,106,9958,1.05248951911926
8/21/1998 12:00:00 AM,34,13.3319999694824,164842,24.2,496,99.8,106,8993,1.03463220596313
8/28/1998 12:00:00 AM,35,13.6479999542236,165283,24.5,473,100.5,106,9379,1.0374253988266
9/4/1998 12:00:00 AM,36,13.9840000152588,163203,23.9,410,98.4,104,8487,1.03930246829987
9/11/1998 12:00:00 AM,37,14.4525001049042,160886,24,462,98.9,104,8631,1.0654137134552
9/18/1998 12:00:00 AM,38,14.8760000228882,163641,24.6,473,96,104,7476,1.03826522827148
9/25/1998 12:00:00 AM,39,15.7799999237061,162362,24.7,478,94.8,104,9114,1.0416716337204
10/2/1998 12:00:00 AM,40,15.8340002059937,163574,25.1,652,88.5,105,8222,1.04600310325623
10/9/1998 12:00:00 AM,41,15.0159999847412,156466,24.1,412,86.9,105,8663,1.04944431781769
10/16/1998 12:00:00 AM,42,14.2140001296997,158994,24.2,445,86.3,105,8158,1.03971242904663
10/23/1998 12:00:00 AM,43,13.8080001831055,158609,24.2,472,87.9,105,8176,1.03410291671753
10/30/1998 12:00:00 AM,44,14.3440000534058,156994,24,697,93.1,105,8201,1.04166257381439
11/6/1998 12:00:00 AM,45,14.1280000686646,158043,24.7,470,94.8,105,8920,1.02672791481018
11/13/1998 12:00:00 AM,46,13.6340000152588,162754,25.5,459,95.9,105,7770,1.02585411071777
11/20/1998 12:00:00 AM,47,12.4020000457764,162006,25.2,587,94.2,105,9501,1.00465416908264
11/25/1998 12:00:00 AM,48,11.6166664759318,162060,25.2,481,93.2,105,7976,0.993565857410431
12/4/1998 12:00:00 AM,49,11.2800001144409,164219,25.6,441,93.5,104,9233,0.971341729164124
12/11/1998 12:00:00 AM,50,11.16399974823,165716,25.4,711,93.8,104,9152,0.974708318710327
12/18/1998 12:00:00 AM,51,11.4980001449585,165090,25,493,93.7,104,8794,0.958566665649414
12/24/1998 12:00:00 AM,52,10.9999997615814,166945,25.3,455,96.8,104,8982,0.957323610782623
1/8/1999 12:00:00 AM,1,12.6700000762939,173435,26.7,197,96.5,104,8488,0.975771605968475
1/15/1999 12:00:00 AM,2,12.6219999313354,178021,27.9,546,94.3,104,8944,0.964200377464294
1/22/1999 12:00:00 AM,3,12.2549998760223,175927,27.7,382,90,104,8458,0.951718211174011
1/29/1999 12:00:00 AM,4,12.460000038147,177392,28.6,540,90.5,104,8559,0.952906012535095
2/5/1999 12:00:00 AM,5,12.1559999465942,180776,29.1,441,90.8,104,8405,0.946350276470184
2/12/1999 12:00:00 AM,6,11.8059997558594,177187,28,549,92.8,104,8255,0.943321883678436
2/19/1999 12:00:00 AM,7,11.6575000286102,178500,28.6,493,91.8,104,8780,0.925849795341492
2/26/1999 12:00:00 AM,8,12.3639999389648,177274,27.9,464,91.5,104,8949,0.93249648809433
3/5/1999 12:00:00 AM,9,12.9019998550415,176539,27.2,431,91.1,104,8653,0.94605678319931
3/12/1999 12:00:00 AM,10,14.1920000076294,172941,27,473,90.8,104,9044,1.02331221103668
3/19/1999 12:00:00 AM,11,14.9119998931885,169594,26.3,413,90.1,104,7874,1.03724694252014
3/26/1999 12:00:00 AM,12,15.55,166756,25.7,514,91,104,9085,1.08434820175171
4/1/1999 12:00:00 AM,13,16.6074995994568,166539,25.9,522,93,104,8364,1.13264632225037
4/9/1999 12:00:00 AM,14,16.4520004272461,168378,26.7,638,94.9,104,8630,1.14044940471649
4/16/1999 12:00:00 AM,15,16.7740001678467,170051,26.9,793,94.8,104,8983,1.13792443275452
4/23/1999 12:00:00 AM,16,17.9279998779297,166267,26.2,799,94.2,104,8273,1.13179636001587
4/30/1999 12:00:00 AM,17,18.2280002593994,170711,26.7,603,95.5,104,8206,1.14551043510437
5/7/1999 12:00:00 AM,18,18.623999786377,173328,27.1,773,94,104,8439,1.15019023418427
5/14/1999 12:00:00 AM,19,18.0000003814697,172841,26.5,677,93.4,104,9017,1.14340257644653
5/21/1999 12:00:00 AM,20,17.176000213623,173568,26.9,524,93.9,104,8638,1.1397899389267
5/28/1999 12:00:00 AM,21,17.0740001678467,175282,26.6,704,93.8,104,9081,1.13028538227081
6/4/1999 12:00:00 AM,22,16.772500038147,178093,26.9,430,94.5,105,8406,1.13484442234039
6/11/1999 12:00:00 AM,23,17.9639999389648,174298,26.2,370,93.7,105,8759,1.13347768783569
6/18/1999 12:00:00 AM,24,18.2060001373291,176884,26,875,92.3,105,9164,1.1364471912384
6/25/1999 12:00:00 AM,25,18.0520004272461,173792,25.2,787,92.6,105,7958,1.13611352443695
7/2/1999 12:00:00 AM,26,19.0399997711182,169691,24.2,684,92.3,109,9248,1.1463360786438
7/9/1999 12:00:00 AM,27,19.8650002479553,165935,23.9,385,93.8,109,8669,1.16691327095032
7/16/1999 12:00:00 AM,28,20.2119998931885,165547,23.6,513,94.9,109,9000,1.19166791439056
7/23/1999 12:00:00 AM,29,19.8900001525879,162203,23.5,452,95.8,109,9483,1.20561552047729
7/30/1999 12:00:00 AM,30,20.6220001220703,160985,23.7,498,95.3,109,9228,1.24022221565247
8/6/1999 12:00:00 AM,31,20.5439994812012,157863,23.4,478,96.9,108,8578,1.22394943237305
8/13/1999 12:00:00 AM,32,21.4400001525879,158455,23.5,602,95.4,108,8633,1.24112355709076
8/20/1999 12:00:00 AM,33,21.6200004577637,159489,23.7,538,95.5,108,9053,1.2341490983963
8/27/1999 12:00:00 AM,34,21.2060001373291,158140,23.3,546,93.6,108,9138,1.25057673454285
9/3/1999 12:00:00 AM,35,21.8820003509521,156772,23,498,96.5,108,8305,1.25755882263184
9/10/1999 12:00:00 AM,36,23.0024995803833,155455,23.2,540,94.3,109,8245,1.27923476696014
9/17/1999 12:00:00 AM,37,24.276000213623,156122,23.2,575,93.8,109,8809,1.29969084262848
9/24/1999 12:00:00 AM,38,24.5259998321533,155518,23,596,93.6,109,8474,1.28347742557526
10/1/1999 12:00:00 AM,39,24.5780002593994,157168,23.3,448,93.9,109,8678,1.28284120559692
10/8/1999 12:00:00 AM,40,22.7179996490479,158680,23.7,581,92.5,109,7727,1.27152919769287
10/15/1999 12:00:00 AM,41,22.5419998168945,159694,23.7,561,90,109,8832,1.26548004150391
10/22/1999 12:00:00 AM,42,22.6459999084473,156406,23.6,550,88.9,109,8115,1.2571120262146
10/29/1999 12:00:00 AM,43,22.4959999084473,155186,23.3,589,90.7,109,8763,1.26497173309326
11/5/1999 12:00:00 AM,44,22.7240001678467,154168,23.1,235,90.7,109,8381,1.26197814941406
11/12/1999 12:00:00 AM,45,24.2200000762939,151697,22.7,434,90.8,110,8362,1.27930545806885
11/19/1999 12:00:00 AM,46,26.0479999542236,150898,22.6,398,91.5,110,8227,1.30030369758606
11/26/1999 12:00:00 AM,47,27.3449997901917,151655,22.8,581,91.2,110,7450,1.31007826328278
12/3/1999 12:00:00 AM,48,25.4619998931885,155379,23.9,339,91.6,110,8827,1.30582296848297
12/10/1999 12:00:00 AM,49,26.1860000610352,154566,23.7,513,90,110,7548,1.29969108104706
12/17/1999 12:00:00 AM,50,26.2040004730225,153235,23.4,245,90.2,110,8147,1.30899941921234
12/23/1999 12:00:00 AM,51,26.0650000572205,152457,23.1,451,88.8,110,8310,1.28998100757599
12/30/1999 12:00:00 AM,52,26.335000038147,151378,22.2,680,89,110,8054,1.30145847797394
1/7/2000 12:00:00 AM,1,24.9475002288818,154476,22.9,470,86.1,108,8508,1.28314673900604
1/14/2000 12:00:00 AM,2,26.2679996490479,159177,24.1,480,85.3,108,7396,1.30558109283447
1/21/2000 12:00:00 AM,3,29.3674998283386,158360,24.9,555,85.7,108,8448,1.34843850135803
1/28/2000 12:00:00 AM,4,28.3360000610352,158009,25.4,884,87.4,108,6746,1.34731638431549
2/4/2000 12:00:00 AM,5,28.076000213623,159659,25.5,430,84.6,108,8416,1.36052858829498
